--- Training Session Started (20000 epochs) ---
Hardware: CUDA
Epoch 0 | Loss: 0.38951373 | Beta: 0.4999 | Gamma: 0.1001
Epoch 100 | Loss: 0.00876135 | Beta: 0.4916 | Gamma: 0.1098
Epoch 200 | Loss: 0.00301774 | Beta: 0.4826 | Gamma: 0.1171
Epoch 300 | Loss: 0.00148739 | Beta: 0.4729 | Gamma: 0.1230
Epoch 400 | Loss: 0.00094592 | Beta: 0.4627 | Gamma: 0.1285
Epoch 500 | Loss: 0.00063606 | Beta: 0.4525 | Gamma: 0.1338
Epoch 600 | Loss: 0.00043774 | Beta: 0.4424 | Gamma: 0.1388
Epoch 700 | Loss: 0.00031212 | Beta: 0.4326 | Gamma: 0.1434
Epoch 800 | Loss: 0.00023496 | Beta: 0.4231 | Gamma: 0.1475
Epoch 900 | Loss: 0.00018760 | Beta: 0.4138 | Gamma: 0.1511
Epoch 1000 | Loss: 0.00015694 | Beta: 0.4046 | Gamma: 0.1542
Epoch 1100 | Loss: 0.00013515 | Beta: 0.3957 | Gamma: 0.1566
Epoch 1200 | Loss: 0.00011826 | Beta: 0.3869 | Gamma: 0.1586
Epoch 1300 | Loss: 0.00010443 | Beta: 0.3783 | Gamma: 0.1599
Epoch 1400 | Loss: 0.00009279 | Beta: 0.3697 | Gamma: 0.1606
Epoch 1500 | Loss: 0.00008284 | Beta: 0.3613 | Gamma: 0.1607
Epoch 1600 | Loss: 0.00007425 | Beta: 0.3530 | Gamma: 0.1602
Epoch 1700 | Loss: 0.00006678 | Beta: 0.3447 | Gamma: 0.1592
Epoch 1800 | Loss: 0.00006023 | Beta: 0.3366 | Gamma: 0.1577
Epoch 1900 | Loss: 0.00005443 | Beta: 0.3285 | Gamma: 0.1557
Epoch 2000 | Loss: 0.00004927 | Beta: 0.3205 | Gamma: 0.1533
Epoch 2100 | Loss: 0.00004466 | Beta: 0.3125 | Gamma: 0.1505
Epoch 2200 | Loss: 0.00004053 | Beta: 0.3047 | Gamma: 0.1474
Epoch 2300 | Loss: 0.00003681 | Beta: 0.2969 | Gamma: 0.1441
Epoch 2400 | Loss: 0.00003347 | Beta: 0.2891 | Gamma: 0.1405
Epoch 2500 | Loss: 0.00003046 | Beta: 0.2814 | Gamma: 0.1368
Epoch 2600 | Loss: 0.00002775 | Beta: 0.2738 | Gamma: 0.1330
Epoch 2700 | Loss: 0.00002531 | Beta: 0.2662 | Gamma: 0.1291
Epoch 2800 | Loss: 0.00002312 | Beta: 0.2587 | Gamma: 0.1251
Epoch 2900 | Loss: 0.00002115 | Beta: 0.2512 | Gamma: 0.1211
Epoch 3000 | Loss: 0.00001937 | Beta: 0.2438 | Gamma: 0.1171
Epoch 3100 | Loss: 0.00001775 | Beta: 0.2365 | Gamma: 0.1131
Epoch 3200 | Loss: 0.00001629 | Beta: 0.2293 | Gamma: 0.1092
Epoch 3300 | Loss: 0.00001495 | Beta: 0.2221 | Gamma: 0.1053
Epoch 3400 | Loss: 0.00001373 | Beta: 0.2149 | Gamma: 0.1014
Epoch 3500 | Loss: 0.00001261 | Beta: 0.2079 | Gamma: 0.0976
Epoch 3600 | Loss: 0.00001158 | Beta: 0.2009 | Gamma: 0.0939
Epoch 3700 | Loss: 0.00001063 | Beta: 0.1941 | Gamma: 0.0902
Epoch 3800 | Loss: 0.00000975 | Beta: 0.1873 | Gamma: 0.0865
Epoch 3900 | Loss: 0.00000893 | Beta: 0.1806 | Gamma: 0.0830
Epoch 4000 | Loss: 0.00000818 | Beta: 0.1740 | Gamma: 0.0795
Epoch 4100 | Loss: 0.00000747 | Beta: 0.1675 | Gamma: 0.0760
Epoch 4200 | Loss: 0.00000682 | Beta: 0.1611 | Gamma: 0.0727
Epoch 4300 | Loss: 0.00000622 | Beta: 0.1548 | Gamma: 0.0694
Epoch 4400 | Loss: 0.00000566 | Beta: 0.1486 | Gamma: 0.0661
Epoch 4500 | Loss: 0.00000514 | Beta: 0.1425 | Gamma: 0.0630
Epoch 4600 | Loss: 0.00000467 | Beta: 0.1365 | Gamma: 0.0599
Epoch 4700 | Loss: 0.00000423 | Beta: 0.1307 | Gamma: 0.0569
Epoch 4800 | Loss: 0.00000382 | Beta: 0.1250 | Gamma: 0.0540
Epoch 4900 | Loss: 0.00000345 | Beta: 0.1194 | Gamma: 0.0511
Epoch 5000 | Loss: 0.00000311 | Beta: 0.1140 | Gamma: 0.0483
Epoch 5100 | Loss: 0.00000280 | Beta: 0.1087 | Gamma: 0.0456
Epoch 5200 | Loss: 0.00000253 | Beta: 0.1036 | Gamma: 0.0430
Epoch 5300 | Loss: 0.00000227 | Beta: 0.0986 | Gamma: 0.0405
Epoch 5400 | Loss: 0.00000208 | Beta: 0.0937 | Gamma: 0.0380
Epoch 5500 | Loss: 0.00000183 | Beta: 0.0891 | Gamma: 0.0357
Epoch 5600 | Loss: 0.00000165 | Beta: 0.0846 | Gamma: 0.0334
Epoch 5700 | Loss: 0.00000147 | Beta: 0.0803 | Gamma: 0.0312
Epoch 5800 | Loss: 0.00000134 | Beta: 0.0761 | Gamma: 0.0291
Epoch 5900 | Loss: 0.00000119 | Beta: 0.0721 | Gamma: 0.0272
Epoch 6000 | Loss: 0.00000127 | Beta: 0.0684 | Gamma: 0.0253
Epoch 6100 | Loss: 0.00000097 | Beta: 0.0648 | Gamma: 0.0235
Epoch 6200 | Loss: 0.00000157 | Beta: 0.0614 | Gamma: 0.0218
Epoch 6300 | Loss: 0.00000080 | Beta: 0.0582 | Gamma: 0.0202
Epoch 6400 | Loss: 0.00000099 | Beta: 0.0551 | Gamma: 0.0187
Epoch 6500 | Loss: 0.00000067 | Beta: 0.0523 | Gamma: 0.0172
Epoch 6600 | Loss: 0.00000433 | Beta: 0.0497 | Gamma: 0.0159
